WORD	SAMPA	POS	PRON_VARIANT	IS_COMPOUND	COMPOUND_ATTR	HAS_PREFIX	LANG	IS_VALIDATED	COMMENT
afhentar	a f h E n t_h a r	so	northeast_clear	false	none	true	IS	true	
afhentar	a f h E n_0 t a r	so	standard_clear	false	none	true	IS	true	
afhenti	a f h E n t_h I	so	northeast_clear	false	none	true	IS	true	
afhenti	a f h E n_0 t I	so	standard_clear	false	none	true	IS	true	
afhentir	a f h E n t_h I r	so	northeast_clear	false	none	true	IS	true	
afhentir	a f h E n_0 t I r	so	standard_clear	false	none	true	IS	true	
afhentu	a: f h E n_0 t Y	so	standard_clear	false	none	true	IS	true	""
afhentu	a: f h E n t_h Y	so	northeast_clear	false	none	true	IS	true	""
afhentur	a: f h E n_0 t Y r	so	standard_clear	false	none	true	IS	true	""
afhentur	a: f h E n t_h Y r	so	northeast_clear	false	none	true	IS	true	""
afhomma	a f h O m a	so	all	false	none	true	IS	true	
afhverju	a f k_h v E r j Y	n	standard_clear	false	none	true	IS	true	""
afhöggvinn	a f h 9 k v I n	lo	all	false	none	true	IS	true	
afi	a: v I	n	all	false	head	false	IS	true	
afkastamikill	a v k_h a s t a m I c I t l_0	lo	standard_clear	true	none	true	IS	true	
afkastamikill	a v k_h a s t a m I c_h I t l_0	lo	north_clear	true	none	true	IS	true	
afklæddist	a v k_h l ai t I s t	so	all	false	none	true	IS	true	
afklæðast	a v k_h l ai D a s t	so	all	false	none	true	IS	true	
afkoma	a v k_h O m a	n	all	false	head	true	IS	true	""
afkoman	a v k_h O m a n	n	all	false	head	true	IS	true	""
afkomandi	a v k_h O m a n t I	n	all	false	none	true	IS	true	
afkomendum	a v k_h O m E n t Y m	n	standard_clear	false	none	true	IS	true	""
afkomendur	a v k_h O m E n t Y r	n	all	false	none	true	IS	true	
afkomu	a v k_h O m Y	n	all	false	both	true	IS	true	""
afkomukreppu	a v k_h O m Y k_h r E h p Y	n	all	true	modifier	true	IS	true	
afkomutölur	a v k_h O m Y t_h 9 l Y r	n	all	true	none	true	IS	true	
afkvæmarannsókn	a v k_h v ai m a r a n s ou h k n_0	n	all	true	none	true	IS	true	
