boot	p u t
boots	p u t s
boozt	p u s t
bo	p ou:
border	p O r t E r
borders	p O r t E r_0 s
boring	p O: r i N
boris	p O: r I s
born	p O r n
boro	p O r ou
borussia	p O r u s i a
bose	p ou: s
boss	p O s
both	p ou T
bottas	p O h t a s
bottom	p O h t O m
bought	p O t
bound	p au: n t
bourbon	p 9 r p O n
bournemouth	p O r n m au T
bowie	p ou: i
bowl	p ou: l
box	p O k s
boys	p Oi j s
bradley	p r a t l i
brad	p r a t
brady	p r ei: t i
brain	p r ei: n
brandon	p r a n t O n
brand	p r a n t
bravo	p r a v ou
breakers	p r ei: k E r_0 s
breakfast	p r E k f a s t
break	p r ei: k
breath	p r E T
breeding	p r i t i N
brendan	p r E n t a n
brentford	p r E n_0 t f O r t
brenton	p r E n_0 t O n
brewery	p r u: E r i
brewing	p r u: i N
brian	p r ai j a n
bride	p r ai: t
bridge	p r I t s
brighton	p r ai: t_h O n
bright	p r ai t
bringing	p r i N i N
bring	p r i N
bristol	p r I s t O l
britain	p r I h t E n
british	p r I h t I s
britney	p r I h t n ei
broadcasting	p r O t k_h a s t i N
broadway	p r O t v ei
broken	p r ou: k E n
broke	p r ou: k
brom	p r O: m
bromwich	p r O m v I t s
brooklyn	p r u h k l I n
brooks	p r u k s
brother	p r O D E r
brothers	p r O D E r_0 s
brought	p r O: t
brownie	p r au: n i
brown	p r au: n
bruce	p r u: s
brugge	p r Y c E
brunch	p r 9 n t s
bruno	p r u: n ou
bruyne	p r Oi n E
bryan	p r ai j a n
bryant	p r ai j a n_0 t
bröndby	p r 9 n p i
bucks	p 9 h k s
budget	p 9 t s E t
building	p I l t i N
buildings	p I l t i N s
build	p I l t
built	p I l_0 t
bullock	p u l O h k
bureau	p j u: r ou
burger	p 9 r k E r
burning	p 9 r n i N
burnley	p 9 r n l ei
burn	p 9 r n
burns	p 9 r n s
burton	p 9 r_0 t O n
burt	p 9 r_0 t
bush	p u s
business	p I s n E s
bus	p 9 s
bust	p 9 s t
busy	p I s i
butler	p 9 h t l E r
but	p 9 t
butterfly	p 9 h t E r_0 f l ai
button	p 9 h t O n
butt	p 9 h t
buyers	p ai j E r_0 s
buy	p ai:
cab	k_h a: p
cache	k_h a s
cactus	k_h a x t Y s
cahill	c_h ei: h I l
cake	k_h ei: k
calculator	k_h a l_0 k j u l ei t O r
called	k_h O l t
calling	k_h O l i N
calls	k_h O l s
calm	k_h O l m
calorie	k_h a: l O r i
cambria	k_h a m p r i j a
cambridge	c_h ei m p r I t s
camera	k_h a: m E r a
cameron	k_h a: m E r O n
campbell	k_h a m_0 p E l
camp	k_h a m_0 p
can	k_h a: n
canada	k_h a: n a t a
cancel	k_h a n s E l
cancelled	k_h a n s E l t
cancer	k_h a n s E r
candidate	k_h a n t I t ei t
cannot	k_h a n O t
can't	k_h a n_0 t
cant	k_h a n_0 t
capacent	k_h a p a s E n_0 t
capcut	k_h a p k_h 9 t
capital	k_h a p I t_h a l
captured	k_h a p t s j u r t
caravan	k_h a: r a v a n
carbon	k_h a r p O n
cardiff	k_h a r_0 t I f
card	k_h a r t
care	c_h E: r
carl	k_h a r l
carlo	k_h a r l ou
carlos	k_h a r l O s
carnegie	k_h a r n E c i
caroline	k_h a: r O l ai n
carragher	k_h a r a c E r
carrick	k_h a r I h k
carried	k_h a r i t
carroll	k_h a r O l
carry	k_h a r i
cars	k_h a r_0 s
carter	k_h a r_0 t E r
case	c_h ei: s
cases	c_h ei: s E s
cash	k_h a s
castro	k_h a s t r ou
casual	k_h a s j u a l
catching	k_h a t s j i N
catch	k_h a t s
catherine	k_h a T r I n
cat	k_h a t
caught	k_h O: t
caused	k_h O: s t
cause	k_h O: s
cave	c_h ei: v
cayenne	k_h ai j E n
cc	s j E: s j E
cech	t s j E h k
celebrate	s E l E p r ei t
cell	s E l
celtic	s E l_0 t I k
center	s E n_0 t E r
centers	s E n_0 t E r_0 s
central	s E n_0 t r a l
centre	s E n_0 t E r
century	s E n_0 t j u r i
ceo	s i: i: ou:
ceremony	s E r E m ou n i
certainly	s 9 r_0 t E n l i
certain	s 9 r_0 t E n
chains	t s j ei: n s
chain	t s j ei: n
challenge	t s j a l E n t s
chamber	t s j ei: m p E r
championships	t s j a m_0 p i j O n s j I p s
champions	t s j a m_0 p i j O n s
