a	a	a
ai	ai	3
ai:	aiː	4
au	au	z
au:	auː	Z
a:	aː	A
c	c	c
c_h	cʰ	C
ei	ei	1
ei:	eiː	2
f	f	f
h	h	h
i	i	y
i:	iː	Y
j	j	j
k	k	k
k_h	kʰ	K
l	l	l
l_0	l̥	L
m	m	m
m_0	m̥	M
n	n	n
n_0	n̥	N
ou	ou	x
ou:	ouː	X
p	p	p
p_h	pʰ	P
r	r	r
r_0	r̥	R
s	s	s
t	t	t
t_h	tʰ	T
u	u	u
u:	uː	U
v	v	F
x	x	G
C	ç	H
D	ð	D
N	ŋ	b
N_0	ŋ̊	B
9	œ	8
9i	œy	5
9i:	œyː	6
9:	œː	9
O	ɔ	o
Oi	ɔi	7
O:	ɔː	O
E	ɛ	e
E:	ɛː	E
G	ɣ	g
I	ɪ	i
I:	ɪː	I
J	ɲ	q
J_0	ɲ̊	Q
Y	ʏ	v
Yi	ʏi	w
Y:	ʏː	V
T	θ	d
